names,genre,date_x,score
Creed III,Drama| Action,2023,"7,3"
Avatar: The Way of Water,Science Fiction| Adventure| Action,2022,"7,8"
The Super Mario Bros. Movie,Animation| Adventure| Family| Fantasy| Comedy,2023,"7,6"
Mummies,Animation| Comedy| Family| Adventure| Fantasy,2023,7
Supercell,Action,2023,"6,1"
Cocaine Bear,Thriller| Comedy| Crime,2023,"6,6"
John Wick: Chapter 4,Action| Thriller| Crime,2023,8
Puss in Boots: The Last Wish,Animation| Family| Fantasy| Adventure| Comedy,2022,"8,3"
Attack on Titan,Action| Science Fiction,2022,"5,9"
The Park,Action| Drama| Horror| Science Fiction| Thriller,2023,"5,8"
Winnie the Pooh: Blood and Honey,Horror| Thriller,2023,"5,8"
The Exorcist,Horror,2022,"5,5"
Murder Mystery 2,Comedy| Mystery| Action,2023,"6,5"
Black Panther: Wakanda Forever,Action| Adventure| Science Fiction,2022,"7,3"
The Pope's Exorcist,Horror| Mystery,2023,"7,2"
Prizefighter: The Life of Jem Belcher,Drama| History,2022,"6,2"
Knock at the Cabin,Thriller| Mystery| Horror| Fantasy,2023,"6,4"
The Devil Conspiracy,Horror| Thriller,2023,"6,5"
Cazadora,Thriller,2023,"5,7"
Gold Run,War| Action| Adventure| Thriller,2022,"6,5"
The Magician's Elephant,Animation| Adventure| Family| Fantasy,2023,"7,3"
Plane,Action| Adventure| Thriller,2023,"6,9"
The Passion of the Christ,Drama,2004,"7,4"
Batman: The Doom That Came to Gotham,Animation| Fantasy| Horror| Action| Mystery,2023,"6,4"
Shazam! Fury of the Gods,Action| Comedy| Fantasy,2023,"6,9"
Consecration,Horror| Thriller,2023,"6,5"
Shark Side of the Moon,Action| Science Fiction| Thriller| Horror,2022,"5,3"
Black Adam,Action| Adventure| Science Fiction| Fantasy,2022,"7,1"
Money Shot: The Pornhub Story,Documentary,2023,"5,8"
M3GAN,Science Fiction| Horror| Comedy,2023,"7,4"
Ant-Man and the Wasp: Quantumania,Science Fiction| Adventure| Action,2023,"6,3"
Sayen,Thriller| Action,2023,"6,2"
Die Hart,Action| Comedy| Thriller,2023,"6,2"
13 Exorcisms,Drama| Horror,2022,"5,5"
H.P. Lovecraft's Witch House,Horror,2022,6
John Wick: Chapter 2,Action| Thriller| Crime,2017,"7,3"
Sick,Horror| Thriller,2022,"6,3"
Black Warrant,Action| Thriller,2023,"5,4"
Shotgun Wedding,Action| Comedy| Romance,2023,"6,3"
John Wick: Chapter 3 - Parabellum,Action| Thriller| Crime,2019,"7,4"
Legion of Super-Heroes,Animation| Action| Science Fiction,2023,"6,3"
Fall,Thriller| Drama,2022,"7,3"
Lord of the Streets,Action,2022,"5,2"
Little Dixie,Thriller| Action| Drama| Crime,2023,6
The Whale,Drama,2023,"8,1"
Prey for the Devil,Horror| Thriller,2022,"7,1"
Bandit,Crime| Drama| Thriller,2022,"6,2"
Roald Dahl's Matilda the Musical,Family| Comedy| Fantasy,2022,"6,8"
The Simpsons Meet the Bocellis in Feliz Navidad,Animation| Family| Comedy,2022,"5,2"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Animation| Action| Adventure| Fantasy| Thriller,2021,"8,3"
Huesera: The Bone Woman,Drama| Horror| Mystery,2023,"5,8"
The Last Heretic,Thriller| Horror,2022,"5,5"
